sla-p-ap002-chef-sng01.sdad.sl.ibm.com 10.117.181.134
sla-p-ap002-ee-sng01.sdad.sl.ibm.com 10.117.181.186
sla-p-ap003-asb-seo01.sdad.sl.ibm.com 10.178.78.203
sla-p-ap003-bpm-seo01.sdad.sl.ibm.com 10.178.78.220
sla-p-ap003-chef-seo01.sdad.sl.ibm.com 10.178.78.234
sla-p-ap003-ee-seo01.sdad.sl.ibm.com 10.178.78.232
sla-p-default-os-image.sdad.sl.ibm.com 10.148.11.155
sla-p-jp001-asb-tok02.sdad.sl.ibm.com 10.133.152.74
sla-p-jp001-bpm-tok02.sdad.sl.ibm.com 10.133.152.120
sla-p-jp001-chef-tok02.sdad.sl.ibm.com 10.133.152.104
sla-p-jp001-ee-tok02.sdad.sl.ibm.com 10.133.152.123
sla-p-jp002-asb1-tok02.sdad.sl.ibm.com 10.133.152.115
sla-p-jp002-bpm1-tok02.sdad.sl.ibm.com 10.133.152.102
sla-p-jp002-chef1-tok02.sdad.sl.ibm.com 10.133.152.114
sla-p-jp002-ee1-tok02.sdad.sl.ibm.com 10.133.152.106
sla-p-na024-rcp-bpm-dal09.sdad.sl.ibm.com 10.155.93.225
sla-p-na024-rcp-ror-dal09.sdad.sl.ibm.com 10.155.93.214
